model,modeli,count,year,type,stype,size,emp,make
FUJIFILM+FinePix+S4000,FUJIFILM+FinePix+S4000,1,2011,b,ccd,28.0735,14,FUJIFILM
FUJIFILM+X-E1,FUJIFILM+X-E1,1,2012,mrls,cmos,368.16,16,FUJIFILM
FUJI+PHOTO+FILM+CO.%2C+LTD.+SP-2000,FUJI+PHOTO+FILM+CO.%2C+LTD.+SP-2000,1,,scan,,,,FUJIFILM
GENERAL+IMAGING+CO.+X5,GENERAL+IMAGING+CO.+X5,2,2011,b,ccd,28.4592,14,GE
Hewlett-Packard+Company+hp+PhotoSmart+620,Hewlett-Packard+Company+hp+PhotoSmart+620,2,2002,c,ccd,17.28,2,HP
Hewlett-Packard+HP+PhotoSmart+C850+%28V05.32%29,Hewlett-Packard+HP+PhotoSmart+C850+%28V05.32%29,3,2002,c,ccd,38.16,4,HP
HP+ScanJet+3670,HP+ScanJet+3670,1,2003,scan,,,,HP
HTC+Desire,HTC+Desire,2,2010,phone,cmos,,5,HTC
HTC+ADR6300,HTC+ADR6300,2,2010,phone,cmos,,8,HTC
HTC+PC36100,HTC+PC36100,1,2010,phone,,,8,HTC
EASTMAN+KODAK+COMPANY+KODAK+DX6340+ZOOM+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+DX6340+ZOOM+DIGITAL+CAMERA,1,2003,c,ccd,21.163008,3,KODAK
EASTMAN+KODAK+COMPANY+KODAK+DX4530+ZOOM+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+DX4530+ZOOM+DIGITAL+CAMERA,1,2003,c,ccd,,5,KODAK
EASTMAN+KODAK+COMPANY+KODAK+CX7525+ZOOM+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+CX7525+ZOOM+DIGITAL+CAMERA,3,2004,c,ccd,24.7104,5,KODAK
EASTMAN+KODAK+COMPANY+KODAK+DX7590+ZOOM+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+DX7590+ZOOM+DIGITAL+CAMERA,8,2004,c,ccd,24.745152,5,KODAK
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z710+ZOOM+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z710+ZOOM+DIGITAL+CAMERA,1,2006,c,ccd,24.745152,7,KODAK
EASTMAN+KODAK+COMPANY+KODAK+C875+ZOOM+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+C875+ZOOM+DIGITAL+CAMERA,6,2006,c,ccd,38.277552,8,KODAK
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+M1063+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+M1063+DIGITAL+CAMERA,1,2008,c,ccd,27.7248,10,KODAK
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z915+DIGITAL+CAMERA,EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z915+DIGITAL+CAMERA,1,2009,c,ccd,28.0735,10,KODAK
