modeli,year,type,stype,size,emp,make,count
OLYMPUS+CORPORATION+X-3%2CC-60Z,2004.0,c,ccd,38.277552,6.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+E-300,2004.0,dslr,ccd,224.9,8.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+E-500,2005.0,dslr,ccd,224.9,8.0,OLYMPUS,7
OLYMPUS+IMAGING+CORP.+FE210%2CX775,2007.0,c,ccd,24.745152,7.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+E-410,2007.0,dslr,cmos,224.9,10.0,OLYMPUS,2
OLYMPUS+IMAGING+CORP.+E-510,2007.0,dslr,cmos,224.9,10.0,OLYMPUS,5
OLYMPUS+IMAGING+CORP.+E-3,2007.0,dslr,nmos,224.9,10.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+E-420,2008.0,dslr,cmos,224.9,10.0,OLYMPUS,5
OLYMPUS+IMAGING+CORP.+E-520,2008.0,dslr,cmos,224.9,10.0,OLYMPUS,7
OLYMPUS+IMAGING+CORP.+E-620,2009.0,dslr,cmos,224.9,12.0,OLYMPUS,2
OLYMPUS+IMAGING+CORP.+E-5,2010.0,dslr,cmos,224.9,12.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+E-PL1,2010.0,mrls,cmos,224.9,12.0,OLYMPUS,3
OLYMPUS+IMAGING+CORP.+XZ-1,2011.0,c,ccd,44.8692,10.0,OLYMPUS,5
OLYMPUS+IMAGING+CORP.+E-P3,2011.0,mrls,cmos,224.9,12.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+SP-820UZ,2012.0,c,cmos,28.0735,14.0,OLYMPUS,1
OLYMPUS+IMAGING+CORP.+E-M5,2012.0,mrls,cmos,224.9,16.0,OLYMPUS,14
Panasonic+DMC-FZ20,2004.0,c,ccd,24.745152,5.0,PANASONIC,2
Panasonic+DMC-FZ30,2005.0,c,ccd,38.277552,8.0,PANASONIC,3
Panasonic+DMC-FX07,2006.0,c,ccd,24.745152,7.0,PANASONIC,1
Panasonic+DMC-LZ5,2006.0,c,ccd,24.745152,6.0,PANASONIC,3
Panasonic+DMC-FZ7,2006.0,c,ccd,24.745152,6.0,PANASONIC,7
Panasonic+DMC-FZ50,2006.0,c,ccd,38.277552,10.0,PANASONIC,5
Panasonic+DMC-FZ8,2007.0,c,ccd,24.745152,7.0,PANASONIC,5
Panasonic+DMC-FZ18,2007.0,c,ccd,24.745152,8.0,PANASONIC,6
Panasonic+DMC-TZ5,2008.0,c,ccd,27.7248,9.0,PANASONIC,1
Panasonic+DMC-FZ28,2008.0,c,ccd,27.7248,10.0,PANASONIC,2
Panasonic+DMC-LX3,2008.0,c,ccd,44.8692,10.0,PANASONIC,3
Panasonic+DMC-FS7,2009.0,c,ccd,24.745152,10.0,PANASONIC,1
Panasonic+DMC-GF1,2009.0,mrls,cmos,224.9,12.0,PANASONIC,21
Panasonic+DMC-FZ40,2010.0,b,ccd,27.7248,14.0,PANASONIC,6
Panasonic+DMC-GH2,2010.0,mrls,cmos,224.9,16.0,PANASONIC,1
Panasonic+DMC-G10,2010.0,mrls,cmos,224.9,12.0,PANASONIC,7
Panasonic+DMC-FZ150,2011.0,b,cmos,28.0735,12.0,PANASONIC,4
Panasonic+DMC-G3,2011.0,mrls,cmos,224.9,16.0,PANASONIC,2
Panasonic+DMC-G5,2012.0,mrls,cmos,224.9,16.0,PANASONIC,1
PENTAX+Corporation+PENTAX+Optio+33LF,2003.0,c,ccd,21.163008,3.0,PENTAX,1
PENTAX+Corporation+PENTAX+Optio+S5n,2005.0,c,ccd,24.745152,5.0,PENTAX,1
PENTAX+Corporation+PENTAX+*ist+DL,2005.0,dslr,ccd,368.95,6.0,PENTAX,1
PENTAX+Corporation+PENTAX+K100D,2006.0,dslr,ccd,368.95,6.0,PENTAX,1
PENTAX+Corporation+PENTAX+K10D,2006.0,dslr,ccd,368.95,10.0,PENTAX,3
PENTAX+Corporation+PENTAX+K100D+Super,2007.0,dslr,ccd,368.95,6.0,PENTAX,1
PENTAX+K200D,2008.0,dslr,ccd,368.95,10.0,PENTAX,2
PENTAX+K-7,2009.0,dslr,cmos,365.04,15.0,PENTAX,2
PENTAX+K-x,2009.0,dslr,cmos,372.88,12.0,PENTAX,17
PENTAX+K-5,2010.0,dslr,cmos,372.09,16.0,PENTAX,9
PENTAX+K-01,2012.0,mrls,cmos,372.09,16.0,PENTAX,1
PENTAX+K-30,2012.0,dslr,cmos,372.09,16.0,PENTAX,1
RICOH+IMAGING+COMPANY%2C+LTD.+PENTAX+K-3,2013.0,dslr,cmos,366.6,24.0,PENTAX,1
Philips+SPC900NC,2003.0,webcam,,,,PHILIPS,1
RICOH+Caplio+GX100,2007.0,c,ccd,40.6272,10.0,RICOH,1
RaspberryPi+RP_OV5647,2014.0,webcam,ccd,,5.0,RPI,1
Samsung+Techwin+Digimax+V50%2Fa5,2004.0,c,ccd,38.277552,5.0,SAMSUNG,13
Samsung+Techwin+%3C+Digimax+U-CA+5%2C+Kenox+U-CA+5+%2F+Kenox+U-CA+50+%3E,2005.0,c,ccd,30.72,5.0,SAMSUNG,1
Samsung+Techwin+%3CVLUU+L730++%2F+Samsung+L730%3E,2007.0,c,ccd,24.745152,7.0,SAMSUNG,1
Samsung+Electronics+S7220,2009.0,phone,cmos,,5.0,SAMSUNG,2
SBIG+ST-L-4K+3+CCD+Camera,2003.0,astro,ccd,225.0,4.0,SBIG,14
SBIG+ST-L-11K+3+CCD+Camera,2003.0,astro,ccd,889.2,11.0,SBIG,2
SIGMA+SD9,2002.0,dslr,cmos,285.66,3.0,SIGMA,2
SONY+DSC-W15,2002.0,c,ccd,38.1976,5.0,SONY,1
SONY+DSC-P100,2004.0,c,ccd,38.277552,5.0,SONY,1
SONY+DSC-T7,2005.0,c,ccd,27.944112,5.0,SONY,1
SONY+DSC-H1,2005.0,c,ccd,27.944112,5.0,SONY,6
SONY+DSC-P200,2005.0,c,ccd,38.277552,7.0,SONY,1
SONY+DSC-W40,2006.0,c,ccd,24.7104,6.0,SONY,6
SONY+DSC-H2,2006.0,c,ccd,24.745152,6.0,SONY,1
SONY+DSC-H5,2006.0,c,ccd,24.745152,7.0,SONY,6
SONY+DSLR-A100,2006.0,dslr,ccd,372.88,10.0,SONY,4
SONY+DSC-W80,2007.0,c,ccd,24.745152,7.0,SONY,1
SONY+DSLR-A700,2007.0,dslr,cmos,366.6,12.0,SONY,1
SONY+DSC-W110,2008.0,c,ccd,24.745152,7.0,SONY,2
SONY+DSLR-A350,2008.0,dslr,ccd,372.88,14.0,SONY,1
SONY+DSLR-A200,2008.0,dslr,ccd,372.88,10.0,SONY,7
SONY+DSC-T90,2009.0,c,ccd,28.0735,12.0,SONY,1
SONY+DSC-W230,2009.0,c,ccd,28.0735,12.0,SONY,3
SONY+DSLR-A550,2009.0,dslr,cmos,365.04,14.0,SONY,33
SONY+DSLR-A500,2009.0,dslr,cmos,366.6,12.0,SONY,2
SONY+DSLR-A230,2009.0,dslr,ccd,368.95,10.0,SONY,1
SONY+SLT-A33,2010.0,dslr,cmos,366.6,14.0,SONY,9
