x,y,distance,size,year,make,type,emp
-7.62866360225,-4.77530016268,9.0,864.0,2008.0,NIKON,dslr,12.0
-6.29358445257,-6.43356780786,9.0,864.0,2008.0,NIKON,dslr,12.0
-5.4884919226,-7.13277340279,9.0,864.0,2008.0,NIKON,dslr,12.0
-4.60635299695,-7.73185049438,9.0,864.0,2008.0,NIKON,dslr,12.0
-3.65955097248,-8.22238935346,9.0,864.0,2008.0,NIKON,dslr,12.0
-2.66137687418,-8.59750388971,9.0,864.0,2008.0,NIKON,dslr,12.0
-1.62584287839,-8.85192831731,9.0,864.0,2008.0,NIKON,dslr,12.0
-0.567485612469,-8.982091075,9.0,864.0,2008.0,NIKON,dslr,12.0
2.5956066314,-8.61758819015,9.0,864.0,2008.0,NIKON,dslr,12.0
-4.99926571456,7.48380533654,9.0,864.0,2008.0,NIKON,dslr,12.0
-8.13990863723,-3.8395165552,9.0,864.0,2008.0,NIKON,dslr,12.0
-4.07904296079,8.02255623377,9.0,864.0,2008.0,NIKON,dslr,12.0
-7.01032885254,-5.64404902346,9.0,864.0,2008.0,NIKON,dslr,12.0
-2.0805367146,8.75621876035,9.0,864.0,2008.0,NIKON,dslr,12.0
3.59661779861,-8.25011153929,9.0,864.0,2008.0,NIKON,dslr,12.0
4.54714033581,-7.76682140688,9.0,864.0,2008.0,NIKON,dslr,12.0
5.43383099015,-7.17450212701,9.0,864.0,2008.0,NIKON,dslr,12.0
6.2442425685,-6.48146856397,9.0,864.0,2008.0,NIKON,dslr,12.0
6.96699866873,-5.69744938985,9.0,864.0,2008.0,CANON,dslr,21.0
7.5919533795,-4.83345051526,9.0,864.0,2008.0,CANON,dslr,21.0
8.11033370659,-3.90160059049,9.0,864.0,2008.0,NIKON,dslr,12.0
8.51486272651,-2.91498074584,9.0,864.0,2012.0,CANON,dslr,22.0
8.79986173856,-1.88744096124,9.0,864.0,2012.0,CANON,dslr,20.0
8.96132998134,-0.833405642863,9.0,864.0,2008.0,CANON,dslr,21.0
-3.10155938523,8.44868802714,9.0,864.0,2005.0,CANON,dslr,13.0
8.69072012224,2.33909891985,9.0,864.0,2008.0,NIKON,dslr,12.0
8.99700079465,0.232328863891,9.0,864.0,2008.0,NIKON,dslr,12.0
7.89815740271,4.3149866329,9.0,864.0,2008.0,NIKON,dslr,12.0
7.33237384267,5.21884027647,9.0,864.0,2008.0,NIKON,dslr,12.0
6.66365982665,6.0494328424,9.0,864.0,2008.0,NIKON,dslr,12.0
5.90140263358,6.79510463175,9.0,864.0,2008.0,CANON,dslr,21.0
5.05630268357,7.44538804712,9.0,864.0,2008.0,CANON,dslr,21.0
4.14022332743,7.9911545348,9.0,864.0,2008.0,CANON,dslr,21.0
3.16602431126,8.42474272963,9.0,864.0,2012.0,CANON,dslr,22.0
2.14738125377,8.74006600381,9.0,864.0,2008.0,NIKON,dslr,12.0
1.09859367059,8.93269790975,9.0,864.0,2008.0,NIKON,dslr,12.0
0.0343842404315,8.99993431776,9.0,864.0,2008.0,CANON,dslr,21.0
-1.0303078691,8.94083137605,9.0,864.0,2012.0,CANON,dslr,20.0
8.35306814578,3.35056003556,9.0,864.0,2008.0,NIKON,dslr,12.0
