model,count,year,type,stype,size,emp,make
OLYMPUS+CORPORATION+X-3%2CC-60Z,1,2004,c,ccd,38.277552,6,OLYMPUS
Canon+PowerShot+SX1+IS,1,2008,b,cmos,28.0735,10,CANON
SONY+DSC-W710,1,2013,c,ccd,28.0735,16,SONY
Canon+PowerShot+A720+IS,1,2007,c,ccd,24.745152,8,CANON
BenQ+C1050,1,2008,c,ccd,43.32,10,BENQ
OLYMPUS+CORPORATION+C765UZ,1,2004,c,ccd,24.745152,4,OLYMPUS
RICOH+Caplio+GX100,1,2007,c,ccd,40.6272,10,RICOH
Apple+iPhone+4+%28Verizon%29,1,2010,phone,bsi-cmos,15.5268,5,APPLE
SONY+DSC-P100,1,2004,c,ccd,38.277552,5,SONY
SONY+CYBERSHOT,1,,c,ccd,,,SONY
SBIG+ST-L-11K+3+CCD+Camera+w%2F+AO,1,2003,astro,ccd,889.2,11,SBIG
motorola+DROID3,1,2011,phone,,,8,MOTOROLA
Canon+PowerShot+S30,1,2001,c,ccd,38.277552,3,CANON
NIKON+CORPORATION+NIKON+D2X,1,2004,dslr,cmos,372.09,12,NIKON
Samsung+Techwin+%3CVLUU+L730++%2F+Samsung+L730%3E,1,2007,c,ccd,24.745152,7,SAMSUNG
Canon+EOS-1D,1,2001,dslr,ccd,548.17,4,CANON
PENTAX+K-01,1,2012,mrls,cmos,372.09,16,PENTAX
OLYMPUS+IMAGING+CORP.+E-P3,1,2011,mrls,cmos,224.9,12,OLYMPUS
SONY+DSLR-A700,1,2007,dslr,cmos,366.6,12,SONY
FUJIFILM+FinePix6900ZOOM,1,2001,c,ccd,41.5152,3,FUJIFILM
Canon+DIGITAL+IXUS+82+IS,1,2008,c,ccd,24.745152,8,CANON
Canon+PowerShot+A3100+IS,1,2010,c,ccd,28.0735,12,CANON
Apple+iPhone+4,1,2010,phone,bsi-cmos,15.5268,5,APPLE
Canon+IXUS+230+HS,1,2011,c,bsi-cmos,28.0735,12,CANON
OLYMPUS+IMAGING+CORP.+E-300,1,2004,dslr,ccd,224.9,8,OLYMPUS
PENTAX+Corporation+PENTAX+K100D+Super,1,2007,dslr,ccd,368.95,6,PENTAX
SONY+DSC-W80,1,2007,c,ccd,24.745152,7,SONY
Canon+PowerShot+S50,1,2003,c,ccd,38.277552,5,CANON
Panasonic+DMC-FS7,1,2009,c,ccd,24.745152,10,PANASONIC
FUJIFILM+FinePix+A210,1,2003,c,ccd,21.163008,3,FUJIFILM
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+M1063+DIGITAL+CAMERA,1,2008,c,ccd,27.7248,10,KODAK
FUJIFILM+FinePix+S9500,1,2005,c,ccd,48,9,FUJIFILM
Canon+MP640+series,1,2011,printer,,,,CANON
FUJIFILM+MX-2900ZOOM,1,1999,c,ccd,30.72,2,FUJIFILM
OLYMPUS+OPTICAL+CO.%2CLTD+C200Z%2CD510Z,1,2001,c,ccd,21.163008,2,OLYMPUS
OLYMPUS+IMAGING+CORP.+SP-820UZ,1,2012,c,cmos,28.0735,14,OLYMPUS
SONY+DSC-H2,1,2006,c,ccd,24.745152,6,SONY
Canon+PowerShot+S400,1,2003,c,ccd,38.277552,4,CANON
NIKON+E8800,1,2004,c,ccd,58.08,8,NIKON
NIKON+E7900,1,2005,c,ccd,38.277552,7,NIKON
HP+ScanJet+3670,1,2003,scan,,,,HP
Minolta+Co.%2C+Ltd.+DiMAGE+Z1,1,2003,c,ccd,21.163008,3,MINOLTA
FUJIFILM+FinePix+S5600,1,2005,c,ccd,24.745152,5,FUJIFILM
PENTAX+Corporation+PENTAX+K100D,1,2006,dslr,ccd,368.95,6,PENTAX
RaspberryPi+RP_OV5647,1,2014,webcam,ccd,,5,RPI
PENTAX+K-30,1,2012,dslr,cmos,372.09,16,PENTAX
EASTMAN+KODAK+COMPANY+KODAK+DX4530+ZOOM+DIGITAL+CAMERA,1,2003,c,ccd,,5,KODAK
SONY+DSC-P200,1,2005,c,ccd,38.277552,7,SONY
SONY+DSC-T90,1,2009,c,ccd,28.0735,12,SONY
Leica+Camera+AG+LEICA+M+%28Typ+240%29,1,2012,mrls,cmos,864,24,LEICA
Canon+PowerShot+A700,1,2006,c,ccd,24.745152,6,CANON
Canon+PowerShot+S80,1,2005,c,ccd,38.277552,8,CANON
Apple+iPad+2,1,2011,tablet,,,1,APPLE
Canon+PowerShot+A10,1,2001,c,ccd,21.163008,1,CANON
