lon,lat,ISO,size,make,secpast,views,type,x,y
145.276679,-38.101873,200,328.56,CANON,404687773.0,4208,dslr,18.0,3.0
-80.479316,42.613875,200,40.6272,RICOH,401335620.0,118,c,13.0,0.0
-114.121856,51.106108,100,28.4592,KODAK,583007117.0,576,c,18.0,3.0
1.387839,52.711287,1600,328.56,CANON,546959945.0,74,dslr,26.0,49.0
8.68349,50.110671,400,328.56,CANON,583199873.0,1187,dslr,15.0,0.0
24.402265,56.827891,800,332.27,CANON,580336629.0,206,dslr,31.0,41.0
24.402694,56.827281,800,332.27,CANON,580336703.0,163,dslr,31.0,41.0
3.519744,48.023916,800,342.77,CANON,323207638.0,541,dslr,24.0,47.0
-80.150606,39.478605,64,24.745152,FUJIFILM,398730299.0,7592,c,13.0,2.0
-80.150606,39.478605,100,24.745152,FUJIFILM,419896207.0,113,c,13.0,2.0
-80.150606,39.478605,200,24.745152,FUJIFILM,402633576.0,1163,c,13.0,2.0
-80.150606,39.478605,100,24.745152,FUJIFILM,419894894.0,147,c,13.0,2.0
-80.150606,39.478605,100,24.745152,FUJIFILM,419896314.0,91,c,13.0,2.0
-80.150606,39.478605,64,24.745152,FUJIFILM,398905555.0,417,c,13.0,2.0
-80.150606,39.478605,64,24.745152,FUJIFILM,398905569.0,137,c,6.0,8.0
-80.150606,39.478605,64,24.745152,FUJIFILM,398905844.0,65,c,6.0,8.0
-80.150606,39.478605,100,24.745152,FUJIFILM,402548248.0,1406,c,18.0,3.0
-80.150606,39.478605,100,24.745152,FUJIFILM,419898628.0,162,c,18.0,3.0
-80.150606,39.478605,64,24.745152,FUJIFILM,398730400.0,257,c,13.0,2.0
-80.150606,39.478605,200,24.745152,FUJIFILM,402633510.0,3110,c,18.0,3.0
-80.150606,39.478605,64,24.745152,FUJIFILM,398905868.0,403,c,24.0,48.0
-80.150606,39.478605,100,24.745152,FUJIFILM,419898549.0,124,c,24.0,48.0
-4.443594,53.34175,1600,864.0,CANON,610324120.0,9764,dslr,25.0,48.0
-4.786262,52.762112,1600,864.0,CANON,594684355.0,29388,dslr,24.0,48.0
-70.475234,44.065386,1600,328.56,CANON,431564190.0,62,dslr,6.0,8.0
-70.475234,44.065386,1600,328.56,CANON,431564378.0,74,dslr,13.0,2.0
6.928306,43.63119,800,337.5,CANON,401420887.0,64,dslr,25.0,48.0
6.928306,43.63119,1600,337.5,CANON,401420666.0,45,dslr,25.0,48.0
-74.319903,39.509247,1600,864.0,CANON,594861988.0,1430,dslr,15.0,0.0
-78.701344,44.468726,1600,355.74,NIKON,593205694.0,4596,dslr,34.0,44.0
-78.701344,44.468726,400,355.74,NIKON,593206892.0,1303,dslr,18.0,3.0
-70.189697,42.048193,800,328.56,CANON,467804524.0,925,dslr,15.0,0.0
-71.090801,42.357552,800,328.56,CANON,569541873.0,654,dslr,29.0,40.0
12.410345,51.313795,200,328.56,CANON,446081018.0,366,dslr,6.0,8.0
-72.72917,43.544309,6400,370.52,NIKON,591839832.0,764,dslr,15.0,0.0
-72.72917,43.544309,1600,370.52,NIKON,591921795.0,1031,dslr,15.0,0.0
-72.72917,43.544309,6400,370.52,NIKON,591920668.0,1921,dslr,29.0,40.0
-72.72917,43.544309,6400,370.52,NIKON,591840167.0,716,dslr,11.0,26.0
-72.72917,43.544309,4000,370.52,NIKON,591922558.0,883,dslr,46.0,14.0
-72.72917,43.544309,6400,370.52,NIKON,591840078.0,1008,dslr,32.0,12.0
-72.72917,43.544309,6400,370.52,NIKON,591839952.0,4214,dslr,36.0,15.0
-72.72917,43.544309,2000,370.52,NIKON,591922469.0,797,dslr,34.0,19.0
-72.72917,43.544309,1600,370.52,NIKON,591922043.0,737,dslr,36.0,15.0
-72.72917,43.544309,3200,370.52,NIKON,591921427.0,1177,dslr,26.0,6.0
-72.72917,43.544309,6400,370.52,NIKON,591921313.0,992,dslr,34.0,31.0
-72.72917,43.544309,6400,370.52,NIKON,591921137.0,2200,dslr,28.0,21.0
-72.72917,43.544309,6400,370.52,NIKON,591921018.0,988,dslr,11.0,35.0
-72.72917,43.544309,6400,370.52,NIKON,591920934.0,1635,dslr,11.0,35.0
-72.72917,43.544309,6400,370.52,NIKON,591920778.0,904,dslr,11.0,35.0
-72.72917,43.544309,4000,370.52,NIKON,591840371.0,650,dslr,32.0,37.0
-72.72917,43.544309,6400,370.52,NIKON,591840273.0,1336,dslr,33.0,36.0
-72.72917,43.544309,1600,370.52,NIKON,591921959.0,836,dslr,33.0,36.0
-72.72917,43.544309,3200,370.52,NIKON,591921561.0,850,dslr,32.0,37.0
-72.72917,43.544309,5000,370.52,NIKON,591839507.0,542,dslr,33.0,36.0
-72.72917,43.544309,4000,370.52,NIKON,591922739.0,1711,dslr,35.0,38.0
-72.72917,43.544309,800,370.52,NIKON,591922359.0,916,dslr,6.0,17.0
-72.72917,43.544309,1600,370.52,NIKON,591922261.0,816,dslr,6.0,17.0
8.067054,46.408392,3200,864.0,NIKON,503447789.0,150,dslr,26.0,32.0
8.067054,46.408392,2000,864.0,NIKON,503448282.0,167,dslr,6.0,17.0
8.067054,46.408392,3200,864.0,NIKON,503448650.0,365,dslr,6.0,17.0
7.481474,46.023101,10000,860.4,NIKON,574311900.0,257,dslr,6.0,17.0
8.067054,46.408392,3200,864.0,NIKON,503448829.0,236,dslr,18.0,46.0
8.067054,46.408392,6400,864.0,NIKON,503449512.0,882,dslr,6.0,17.0
8.067054,46.408392,4000,864.0,NIKON,503450111.0,205,dslr,6.0,17.0
8.067054,46.408392,4000,864.0,NIKON,503450458.0,283,dslr,10.0,20.0
8.067054,46.408392,4000,864.0,NIKON,503451263.0,222,dslr,20.0,16.0
8.067054,46.408392,4000,864.0,NIKON,503451433.0,258,dslr,33.0,11.0
8.067054,46.408392,6400,864.0,NIKON,503453005.0,146,dslr,32.0,28.0
6.852892,47.112461,5000,864.0,NIKON,609635237.0,2664,dslr,33.0,11.0
6.629862,47.010986,6400,864.0,NIKON,501311999.0,158,dslr,28.0,27.0
8.02946,46.392647,8000,860.4,NIKON,594511971.0,218,dslr,41.0,12.0
