x,y,phi,radius,distance,phibin,size,year,make,type,emp
-20.5295440306,-4.42016084498,-2.9295227825,21,21.0,12,864.0,2008.0,CANON,dslr,21.0
-21.4332135297,-4.96158823252,-2.91410898416,22,22.0,12,864.0,2008.0,CANON,dslr,21.0
-22.4595278565,-4.95677399736,-2.92437662231,23,23.0,12,864.0,2012.0,CANON,dslr,22.0
-25.4061267611,-5.52528035478,-2.9274489356,26,26.0,12,864.0,2012.0,CANON,dslr,20.0
-27.3076402806,-6.1881162161,-2.91874869312,28,28.0,12,864.0,2012.0,CANON,dslr,20.0
-30.2045208664,-6.97760125215,-2.91456349698,31,31.0,12,864.0,2012.0,CANON,dslr,20.0
-33.1409044767,-7.59476467469,-2.91631661788,34,34.0,12,864.0,2012.0,CANON,dslr,20.0
-34.1816864368,-7.52411538567,-2.9249267036,35,35.0,12,864.0,2012.0,CANON,dslr,20.0
-16.5002336163,-4.09173442524,-2.89851569797,17,17.0,13,864.0,2012.0,CANON,dslr,20.0
-17.5235333025,-4.11409535591,-2.91099350533,18,18.0,13,864.0,2012.0,CANON,dslr,20.0
-19.4424264256,-4.68956870996,-2.90491064227,20,20.0,13,864.0,2012.0,CANON,dslr,22.0
-23.3376211851,-5.5995926121,-2.90610587318,24,24.0,13,864.0,2012.0,CANON,dslr,22.0
-24.2925468131,-5.90526623748,-2.90312836747,25,25.0,13,864.0,2012.0,CANON,dslr,22.0
-28.184182321,-6.8302171923,-2.90383420119,29,29.0,13,864.0,2008.0,CANON,dslr,21.0
-29.1200570303,-7.21264712524,-2.89879251613,30,30.0,13,864.0,2008.0,CANON,dslr,21.0
-31.1620354739,-7.27513196608,-2.91223928367,32,32.0,13,864.0,2012.0,CANON,dslr,20.0
-32.142442309,-7.47418239093,-2.91311975036,33,33.0,13,864.0,2012.0,CANON,dslr,20.0
-6.78238443344,-1.73183757813,-2.89159119933,7,7.0,14,864.0,2008.0,CANON,dslr,21.0
-9.6759909236,-2.52491577015,-2.88633825049,10,10.0,14,864.0,2012.0,CANON,dslr,22.0
-13.5778552506,-3.41201506369,-2.89539776055,14,14.0,14,864.0,2012.0,CANON,dslr,22.0
-15.4604743649,-4.11991898143,-2.88116383282,16,16.0,14,864.0,2012.0,CANON,dslr,20.0
-20.2899900724,-5.41445314541,-2.88081591965,21,21.0,14,864.0,2008.0,CANON,dslr,21.0
-22.2164235248,-5.95235464066,-2.87981502438,23,23.0,14,864.0,2012.0,CANON,dslr,22.0
-25.1696180694,-6.51846041966,-2.88817902743,26,26.0,14,864.0,2012.0,CANON,dslr,22.0
-26.1748578769,-6.62395766341,-2.89373075191,27,27.0,14,864.0,2012.0,CANON,dslr,22.0
-27.0649352024,-7.17560328392,-2.88242970291,28,28.0,14,864.0,2012.0,CANON,dslr,22.0
-29.9600482743,-7.96212957688,-2.88183857351,31,31.0,14,864.0,2008.0,CANON,dslr,21.0
-30.9155218066,-8.26017623466,-2.88050602454,32,32.0,14,864.0,2012.0,CANON,dslr,20.0
-31.8970298979,-8.4604659266,-2.88231982238,33,33.0,14,864.0,2008.0,CANON,dslr,21.0
-32.8988707521,-8.58279110991,-2.88639668785,34,34.0,14,864.0,2012.0,CANON,dslr,20.0
-33.94953024,-8.51054619197,-2.89597193259,35,35.0,14,864.0,2008.0,CANON,dslr,21.0
-4.82062958693,-1.3272265766,-2.8729268756,5,5.0,15,864.0,2008.0,CANON,dslr,21.0
-18.3020621774,-5.1024033608,-2.86970778291,19,19.0,15,864.0,2008.0,CANON,dslr,21.0
-21.1791643043,-5.95340233575,-2.86756687077,22,22.0,15,864.0,2008.0,CANON,dslr,21.0
-23.0789397518,-6.58502391275,-2.8636519184,24,24.0,15,864.0,2008.0,CANON,dslr,21.0
-24.0314630795,-6.89121050739,-2.86232846288,25,25.0,15,864.0,2008.0,CANON,dslr,21.0
-27.9271186504,-7.81511637051,-2.8687326073,29,29.0,15,864.0,2012.0,CANON,dslr,20.0
-28.8583464784,-8.19730678545,-2.8648293523,30,30.0,15,864.0,2008.0,CANON,dslr,21.0
-33.6889134664,-9.48984243554,-2.86701716159,35,35.0,15,864.0,2008.0,CANON,dslr,21.0
-10.5352085626,-3.16376050665,-2.84985739829,11,11.0,16,864.0,2008.0,CANON,dslr,21.0
-11.5205982526,-3.35794816837,-2.85797665014,12,12.0,16,864.0,2012.0,CANON,dslr,20.0
-12.4614208075,-3.70310565049,-2.85273824599,13,13.0,16,864.0,2012.0,CANON,dslr,20.0
-14.3939996398,-4.22051825846,-2.85637336863,15,15.0,16,864.0,2012.0,CANON,dslr,20.0
-17.2600854292,-5.1077833723,-2.8538736389,18,18.0,16,864.0,2012.0,CANON,dslr,20.0
-19.1776127268,-5.6761932756,-2.85382783489,20,20.0,16,864.0,2008.0,CANON,dslr,21.0
-24.8942996509,-7.50158949104,-2.84890911926,26,26.0,16,864.0,2012.0,CANON,dslr,20.0
-25.9071739947,-7.60383690054,-2.8561068878,27,27.0,16,864.0,2008.0,CANON,dslr,21.0
-26.78653353,-8.15362627592,-2.84611071269,28,28.0,16,864.0,2012.0,CANON,dslr,20.0
-29.6834937122,-8.93813185382,-2.84911365003,31,31.0,16,864.0,2012.0,CANON,dslr,20.0
-30.6378788294,-9.23690320595,-2.84877276541,32,32.0,16,864.0,2008.0,CANON,dslr,21.0
-31.6213612218,-9.43872419787,-2.85151989441,33,33.0,16,864.0,2012.0,CANON,dslr,20.0
-32.6273880826,-9.56313478469,-2.85647675781,34,34.0,16,864.0,2012.0,CANON,dslr,20.0
-3.82155451341,-1.18140640806,-2.84176913596,4,4.0,17,864.0,2008.0,CANON,dslr,21.0
-16.2230770583,-5.08052859052,-2.83810045463,17,17.0,17,864.0,2012.0,CANON,dslr,20.0
-20.0023104993,-6.39590296117,-2.8321090568,21,21.0,17,864.0,2012.0,CANON,dslr,20.0
-21.9292105405,-6.93611743479,-2.83525342646,23,23.0,17,864.0,2012.0,CANON,dslr,20.0
-27.6356488984,-8.79038736138,-2.8336310134,29,29.0,17,864.0,2012.0,CANON,dslr,20.0
-28.5633511246,-9.17251178988,-2.83086618848,30,30.0,17,864.0,2012.0,CANON,dslr,20.0
-32.3266994819,-10.5349181587,-2.82655682778,34,34.0,17,864.0,2012.0,CANON,dslr,20.0
-33.4000545965,-10.4611831526,-2.83806239059,35,35.0,17,864.0,2008.0,CANON,dslr,21.0
-7.56723375069,-2.59556802309,-2.8111666643,8,8.0,18,864.0,2008.0,CANON,dslr,21.0
-8.54885344029,-2.81373503665,-2.82362448499,9,9.0,18,864.0,2008.0,CANON,dslr,21.0
-13.2887905458,-4.40545637009,-2.82147793341,14,14.0,18,864.0,2012.0,CANON,dslr,22.0
-15.1613694563,-5.11203249306,-2.81638872656,16,16.0,18,864.0,2012.0,CANON,dslr,20.0
-17.9989820774,-6.08577391785,-2.81554239233,19,19.0,18,864.0,2008.0,CANON,dslr,21.0
-20.8792457251,-6.93232269521,-2.82102475738,22,22.0,18,864.0,2008.0,CANON,dslr,21.0
-22.7786685092,-7.55858855522,-2.82119796362,24,24.0,18,864.0,2012.0,CANON,dslr,22.0
-23.7303813474,-7.86568503749,-2.82152855829,25,25.0,18,864.0,2008.0,CANON,dslr,21.0
-24.5805960267,-8.47315165515,-2.80963921109,26,26.0,18,864.0,2008.0,CANON,dslr,21.0
-25.6028214047,-8.57295375683,-2.81848302368,27,27.0,18,864.0,2012.0,CANON,dslr,22.0
-26.4728024539,-9.12089525403,-2.80979172248,28,28.0,18,864.0,2008.0,CANON,dslr,21.0
-29.3751533215,-9.9045629553,-2.81638872656,31,31.0,18,864.0,2005.0,CANON,dslr,13.0
-30.3293861053,-10.2043293987,-2.81703950629,32,32.0,18,864.0,2008.0,CANON,dslr,21.0
